#,ts_us,dur_us,stream,kernel_short,kernel_full
0,536435400244.932,5.857,8364,nvjet_sm100_tst_32x64_64x16_4x1_v_b,nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN
1,536435400249.925,2.432,8364,splitKreduce,"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, false, float, __nv_bfloat16, __nv_bfloat16, true, false, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, float const*, __nv_bfloat16*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)"
2,536435400252.837,2.112,8364,elementwise,"void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)"
3,536435400255.461,1.44,8364,per_token_group_quant,_per_token_group_quant_8bit
4,536435400257.349,1.825,8364,elementwise,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})"
5,536435400259.686,3.552,8364,elementwise,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)"
6,536435400263.238,4.32,8364,void moe::dev::routing::routingDeepSeek::routingMainKernel<m...,"void moe::dev::routing::routingDeepSeek::routingMainKernel<moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 256, 8, false, true, true> >(moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 256, 8, false, true, true>)"
7,536435400265.894,4.032,8364,routingIndices,"void moe::dev::routing::routingDeepSeek::routingIndicesClusterKernel<moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 256, 8, false, true, true> >(moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 256, 8, false, true, true>)"
8,536435400269.766,21.538,8364,bmm_E4m3_MoE,bmm_E4m3_E4m3E4m3_Fp32_t128x8x128u2_s8_et64x8_m64x8x32_cga1x1x1_16dp256b_rM_TN_transOut_noShflA_dsFp8_schedS_bN_tma_tmaSf_rgTma_clmp_lbW2_dynB_sm100f
9,536435400288.904,4.448,8364,activationDeepSeek,"void moe::dev::activation::activationDeepSeekKernel<moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 1, true> >(moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 1, true>)"
10,536435400290.152,15.809,8364,bmm_Bfloat16_MoE,bmm_Bfloat16_E4m3E4m3_Fp32_t128x8x128u2_s8_et64x8_m64x8x32_cga1x1x1_16dp256b_rM_TN_transOut_noShflA_dsFp8_schPd4x2x2x3_bN_rgTma_clmp_dynB_sm100f
11,536435400301.993,7.2,8364,finalizeKernel,"void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)"
12,536435400309.546,1.343,8364,memcpy32_post,memcpy32_post
13,536435400356.429,2.304,8364,RMSNormKernel,"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)"
14,536435400378.799,2.464,8364,per_token_group_quant,"void (anonymous namespace)::per_token_group_quant_8bit_kernel<__nv_bfloat16, __nv_fp8_e4m3, true, true>(__nv_bfloat16 const*, __nv_fp8_e4m3*, std::conditional<true, unsigned int, float>::type*, int, int, int, float, float, float, int, int)"
15,536435400381.743,11.905,8364,deep_gemm_fp8,"void deep_gemm::sm100_fp8_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 0u, 128u, 6144u, 128u, 16u, 128u, 1u, 128u, 128u, 32u, 11u, 128u, 128u, 1u, false, 148u, (deep_gemm::GemmType)0, false, cutlass::bfloat16_t, deep_gemm::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
16,536435400394.0,3.232,8364,generalLayerNorm,"void flashinfer::norm::generalLayerNorm<__nv_bfloat162, float2, signed char, true, false>(__nv_bfloat162 const*, float2 const*, float2 const*, __nv_bfloat162*, float, int, int, float const*, float const*, float*, float*, signed char*, bool)"
17,536435400410.961,1.248,8364,fast_hadamard,"void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernelTraits<16, 7, __nv_bfloat16> >(HadamardParamsBase)"
18,536435400412.369,2.081,8364,fused_store_indexer,"void (anonymous namespace)::fused_store_indexer_cache<__nv_bfloat16, long, 6u, true>((anonymous namespace)::FusedStoreCacheParam)"
19,536435400435.155,2.689,8364,nvjet_sm100_tst_64x8_64x16_4x1_v_bz,nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT
20,536435400438.292,2.335,8364,RopeQuantize,"void flashinfer::RopeQuantizeKernel<true, 16u, 1u, __nv_bfloat16, long, __nv_fp8_e4m3>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, float*, long*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, float, float)"
21,536435400440.948,1.632,8364,set_mla_kv_buffer,set_mla_kv_buffer_kernel
22,536435400442.612,9.249,8364,fmha_sm100_mla,fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta128PagedKvSparseP1MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen
23,536435400451.605,4.0,8364,nvjet_sm100_tst_16x64_64x16_4x1_v_b,nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN
